text,category,user_id
"Hôm nay vui quá luôn 😊, mọi việc đều suôn sẻ!",entertainment,u001
"Sốc thật sự, không thể tin nổi chuyện đó vừa xảy ra",news,u002
"Buồn ghê, lại bị từ chối phỏng vấn rồi 😭",career,u003
"Tức điên lên với mấy con người vô trách nhiệm này",news,u004
"Lo lắng quá, không biết kết quả thi sẽ thế nào",education,u005
"Sản phẩm này thực sự ghê tởm, không bao giờ mua lại",shopping,u006
"thông báo: lịch học tuần tới đã được cập nhật, mn check email",education,u007
"deadline mai rồi mà vẫn chưa làm xong, panic quá",career,u008
"Crush thả tym story rồi hihi, hạnh phúc dã man",entertainment,u009
"Giá xăng tăng nữa, thật sự bực mình lắm",news,u010
"Phim này hay vcl, recommend mọi người xem ngay",entertainment,u011
"Đám tang của bác hôm nay buồn lắm, cảm giác trống rỗng",personal,u012
"Wtf chuyện gì đang xảy ra vậy trời, bất ngờ thật",news,u013
"Mua hàng online bị lừa rồi, ức chế quá đi mất",shopping,u014
"Reminder: cuộc họp lúc 14h chiều nay tại phòng A",career,u015
