text,likes,comments,shares,time_posted,post_url,text_length,n_words,n_exclamation,n_question,n_emoji_token,n_hashtag
100% học sinh Việt Nam thi Olympic Vật lí châu Á đoạt huy chương,24,1,0,,https://www.facebook.com/phapluattp.vn/posts/pfbid0T8JGQUqjpyBT5NzoWKPUTuyakVPecDy2X8g8tf6aLRpWUYGcRmH8LP3yL41pt1T3l,64.0,14.0,0.0,0.0,0.0,0.0
"(PLO)- TP.HCM huy động hệ thống y tế khám sức khỏe định kỳ toàn dân, tổ chức khu khám riêng, tăng cường khám cuối tuần và đồng bộ dữ liệu sức khỏe điện tử.

#plo #baophapluattp #baophapluattphcm",21,1,0,,https://www.facebook.com/phapluattp.vn/posts/pfbid02wbE6nzGcZNwTrVvhA6yS3y2YyUoWfvAdpfWFQGeGpqdE8CJx1PzCC3iNyM1qtL3Cl,194.0,37.0,0.0,0.0,0.0,3.0
"(PLO)- Ông Trump nói đàm phán với Iran cơ bản đã xong, sắp công bố thỏa thuận; Pakistan nói đàm phán với Iran đạt “tiến triển đáng khích lệ”; Iran nói đàm phán với Mỹ đang có “bước tiến tích cực”.

#plo #baophapluattp #baophapluattphcm",18,0,1,,https://www.facebook.com/phapluattp.vn/posts/pfbid029i71RpHNpD7DGSzqUKxf64QhEuUUTneAXvtVAdGDzy8nxcHUJD9xianc6jyZ2hD7l,235.0,44.0,0.0,0.0,0.0,3.0
"Khoai Lang Thang chia sẻ lại những bức hình thời sinh viên rồi đến khi mới ra trường, những chuyến đi đầu tiên của mình trong hành trình làm vlog du lịch...

""10 năm sau, hay 20 năm sau. Hay 30 năm sau nữa… 
Những chuyến đi này sẽ là ký ức, có khi lúc đó chúng ta quên mất những tháng ngày cùng nhau này? 

Nhưng biết đâu 50 năm sau đó trong một chiều nắng ngập vàng, những tấm hình cũ nằm trên đôi tay run rẩy, rồi bất chợt kỷ niệm sẽ ùa về, và ta nhớ lại cái lần đầu tiên bỡ ngỡ trước biển trời rộng lớn, nhớ lại cái nôn nao khi thấy tuyết ngập tràn, nhớ lại những chuyến đi, nhớ hết tất cả những con người và nhớ những nụ cười rất tươi của một thời tuổi trẻ!""",1314,11,10,,https://www.facebook.com/hhsb.vn/posts/pfbid0ghhmrx7uDHYeRNPWPzWwUDD1CcvwcSk7z9Yj1sQpKzoLQgwwSW4aeVPaCiV4mTUyl,662.0,146.0,1.0,1.0,0.0,0.0
"Khi ""anh Bắp"" trả lời về từ khoá ""Ngô Kiến Huy Sơn Tủng M-TP"" được nhiều người tìm kiếm trên Google trong chương trình Studio 3 On Air:",5959,63,23,,https://www.facebook.com/hhsb.vn/posts/pfbid02wRHiPnEDv2Bk6yJ8wTvDNo1myWaCWhPrzq9tNzEuBSi9jLMXqEQpC411CWF9cnYbl,135.0,28.0,0.0,0.0,0.0,0.0
"Sau khi Sơn Tùng M-TP thông báo màn hợp tác với TYGA vào tối 23/05/2026, nhiều fan đã phát hiện trước đó vào tháng 2/2020, anh đã từng ấn follow nam rapper người Mỹ gốc Việt. 

Cộng đồng mạng suy đoán, vì là người kĩ tính trong việc ""theo dõi"" một nghệ sĩ khác trên Instagram, nên có thể Sơn Tùng M-TP đã ấp ủ kế hoạch ""bắt tay"" với TYGA từ thời điểm đó và đến bây giờ đã có thể thành công cộng tác với nhau trong MV Come My Way.",2624,239,11,,https://www.facebook.com/hhsb.vn/posts/pfbid02JGgZ3M4c7PjNsAYBwcPM2T98VifPg19gSwAFnvPUoxp9tGWwWiizqHLt5Fwh9vQDl,429.0,93.0,0.0,0.0,0.0,0.0
"Halloween và cái kết đẫm máu :)
Ảnh :Pie",2496,195,11,,https://www.facebook.com/hoiyeuchomeo.tv/posts/pfbid02bg7SJc5V2qdGGyPwS5iBzq4QuBbrAk9AKjng5o19rDBcv5MqnWrZRH4ARNdgGEATl,40.0,9.0,0.0,0.0,0.0,0.0
"Vì 1 chút vật chất
Tôi đã mất tất cả
Cre: Tiktok",1120,120,75,,https://www.facebook.com/hoiyeuchomeo.tv/videos/392227132357336/,48.0,12.0,0.0,0.0,0.0,0.0
"Sáng mùng 1 của nhà các Sen thế nào :3
Cùng khoe ảnh với hội nhé! 
Ảnh: Giang Trịnh",2507,199,6,,https://www.facebook.com/hoiyeuchomeo.tv/posts/pfbid02gAo7d8zRDAyYcTPNzvU3Bez9jMFK2aMLH5etVHfwPRhP3iDQKgFNqvYEmSdiRQVvl,83.0,19.0,1.0,0.0,0.0,0.0
"(PLO)- Theo chuyên gia, bản chất ethanol có tính tẩy rửa nên có thể làm cặn bám trong bình xăng tan ra nhanh hơn, chứ không phải xăng E10 tạo ra cặn mới.

#plo #baophapluattp #baophapluattphcm",89,1,3,,https://www.facebook.com/phapluattp.vn/posts/pfbid0F76r1tFcxEcHZM78TVFnXC6AEvDNLa9uRayzK4XAHGwknBiv16TsKmrhwPf12VTsl,192.0,36.0,0.0,0.0,0.0,3.0
Những ai được tăng lương cơ sở từ 1-7?,40,1,0,,https://www.facebook.com/phapluattp.vn/posts/pfbid02A4kAn7vnH747Zw4c8s7skcP6Lqk5x65yqkamCxheqtXL4TaPRUKyDPxjN9XQvUnAl,38.0,9.0,0.0,1.0,0.0,0.0
"(PLO)- Lực lượng Mật vụ Mỹ đã bắn hạ nghi phạm nổ s.ú.n.g về hướng Nhà Trắng, người được cho là từng bị kết luận có dấu hiệu bất ổn tâm lý.

#plo #baophapluattp #baophapluattphcm",66,1,1,,https://www.facebook.com/phapluattp.vn/posts/pfbid0etCvdwQWZpCr3ozarfp5bcqmKKGrAorpmnZWJ84X9eqmihgWyDo5bREAbxYDoFfBl,178.0,35.0,0.0,0.0,0.0,3.0
"Giữa tháng 12/2025, rapper người Mỹ gốc Việt TYGA từng đăng ảnh với outfit xuất hiện trong poster feat cùng Sơn Tùng M-TP. Cư dân mạng suy đoán đây là thời điểm thực hiện sản phẩm COME MY WAY 🔥",4167,91,12,,https://www.facebook.com/hhsb.vn/posts/pfbid02LHKTso7ucSu8tUQ9adRiKqKdZef2mPgcGGBTYEfHRDNF66za1n5MGxj5D8DLB5Ldl,193.0,40.0,0.0,0.0,0.0,0.0
"Sơn Tùng M-TP và TYGA với những lần ""hữu duyên"" từ những năm 2018-2019

Dân mạng: Tất cả kịch bản đã được biên hết rồi 😎",3789,289,16,,https://www.facebook.com/hhsb.vn/posts/pfbid02JL4tUPpX44QmHz7vtnpzKr9KUPvSfyW7R48bdMhUC7neRfe5yNGPSbQ8uo5HGHsol,120.0,26.0,0.0,0.0,0.0,0.0
"Loạt ảnh đám cưới tuyệt đẹp của ""cặp đôi vàng Thái Lan"" Nadech Kugimiya và Yaya Urassaya Sperbund diễn ra tại Na Uy ❤️",6596,99,96,,https://www.facebook.com/hhsb.vn/posts/pfbid024KKu5Niqxyf93px1WuGycArFfkHp4d5Tgpixp5TixPbAzwKnDZip7DCDfPyUAxmkl,118.0,24.0,0.0,0.0,0.0,0.0
"(PLO)- Hàng chục tiếng s.ú.n.g vang lên gần Nhà Trắng ngày 23-5, khiến Mật vụ Mỹ phong tỏa khu vực, sơ tán phóng viên và triển khai lực lượng vũ trang khẩn cấp.

#plo #baophapluattp #baophapluattphcm",83,1,1,,https://www.facebook.com/phapluattp.vn/posts/pfbid0RSSqQtbg1U8chp7kA43HevbWXcN6vbEM2KJgrobA1bpXLaEDS2tJstNXBifR5FcFl,199.0,36.0,0.0,0.0,0.0,3.0
"Ấn tượng khai mạc Hội thao quân sự, võ thuật và thể thao Công an nhân dân năm 2026",44,1,2,,https://www.facebook.com/phapluattp.vn/posts/pfbid0ZvL2zwZhDxgP2nD96aoiaHseyvLsM3ddaGf5s9Em2apZpsKtoqL23UacbMqZ2dVil,82.0,19.0,0.0,0.0,0.0,0.0
"(PLO)- Tổng thống Ukraine Volodymyr Zelensky thúc đẩy quá trình gia nhập Liên minh châu Âu (EU) trong bối cảnh cả Kiev và Moscow đều tìm cách thúc đẩy lợi thế trên chiến trường.

#plo #baophapluattp #baophapluattphcm",100,1,2,,https://www.facebook.com/phapluattp.vn/posts/pfbid0qsSuJWHTbs7kRHSnDNwNWM9VPojYgEzyFbbh5GqgtRjMcgqTRU1acfJrW3hsfE6nl,216.0,37.0,0.0,0.0,0.0,3.0
"Style mẹ thiết kế cho, quí zị miễn bàn luận :)",10000,914,123,,https://www.facebook.com/hoiyeuchomeo.tv/posts/pfbid02FyfVMGA1X2EY4knkL7c5zqUZdqAS9sEUjhdygE3RBNpcP1Qf489hm2qqQZMqUbe4l,46.0,11.0,0.0,0.0,0.0,0.0
"Đúng mà, vì tau được nhặt ở bãi rác
Là đứa con ghẻ mà thôiiii 🙂",638,106,20,,https://www.facebook.com/hoiyeuchomeo.tv/videos/679730486329574/,63.0,16.0,0.0,0.0,0.0,0.0
"Ông có thể ẵm con suốt đời cũng được 
Cái cảm giác chăm sóc cho vật nuôi của mình như 1 đứa trẻ, chỉ có ai yêu chó mèo mới hiểu",878,54,35,,https://www.facebook.com/hoiyeuchomeo.tv/videos/2775243166107176/,127.0,31.0,0.0,0.0,0.0,0.0
